epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4431,1.71769,5.08092,1.75793,0.01057,0.30031,0.01795,0.00842,1.20472,4.62688,1.2848,0.00013332,0.00013332,0.00013332
2,23.8683,1.24527,4.58714,1.44374,0.05021,0.55474,0.10623,0.05143,1.25419,4.46685,1.24419,0.000250253,0.000250253,0.000250253
3,27.2533,1.16606,4.26785,1.35429,0.01229,0.77046,0.19119,0.13228,1.10012,4.39192,1.15129,0.000338588,0.000338588,0.000338588
4,30.5196,1.1217,3.81686,1.3537,0.00602,0.74449,0.2044,0.13962,1.18407,4.28923,1.19705,0.000398327,0.000398327,0.000398327
5,33.9713,1.17248,3.54512,1.36535,0.01432,0.74462,0.34306,0.21327,1.22878,4.09761,1.26138,0.000429468,0.000429468,0.000429468
6,37.9445,1.16955,3.26313,1.40452,0.72421,0.27299,0.45112,0.27693,1.47266,3.98116,1.54435,0.000432012,0.000432012,0.000432012
7,41.6524,1.11189,2.9939,1.33661,0.71002,0.37049,0.5157,0.32305,1.33862,3.71283,1.38924,0.000405959,0.000405959,0.000405959
8,45.8224,1.106,2.87048,1.29847,0.69437,0.43577,0.57036,0.37964,1.26511,3.40329,1.3025,0.000341077,0.000341077,0.000341077
9,50.0225,1.07463,2.6371,1.26489,0.75599,0.53743,0.63529,0.41564,1.20839,3.09298,1.25956,0.000231088,0.000231088,0.000231088
10,54.1654,0.98817,2.52558,1.22959,0.79062,0.60944,0.71516,0.47362,1.21969,2.86102,1.26792,0.000121099,0.000121099,0.000121099
